order_id,product_id,category,quantity,price
O000024,P0227,Elektronik,3,601970
O000024,P0362,Makanan & Minuman,5,1026623
O000024,P0298,Makanan & Minuman,5,667501
O000025,P0278,Elektronik,3,852064
O000025,P0131,Rumah Tangga,5,2283604
O000026,P0438,Fashion,2,611104
O000027,P0414,Kecantikan,2,1149792
O000028,P0429,Kecantikan,4,1539284
O000029,P0456,Elektronik,5,2427199
O000029,P0142,Makanan & Minuman,3,1984812
O000030,P0358,Elektronik,5,2032780
O000030,P0149,Rumah Tangga,5,224139
O000030,P0188,Elektronik,2,2764856
O000030,P0067,Kecantikan,1,2175016
O000031,P0001,Elektronik,5,612811
O000032,P0065,Kecantikan,2,1124930
O000032,P0428,Kecantikan,4,2891205
O000032,P0324,Fashion,4,2102532
O000032,P0411,Kecantikan,5,2012992
O000033,P0388,Fashion,2,793086
O000033,P0189,Elektronik,5,1838006
O000033,P0054,Rumah Tangga,3,1763632
O000034,P0366,Rumah Tangga,4,2308536
O000034,P0285,Rumah Tangga,2,162174
O000034,P0222,Makanan & Minuman,4,1418677
O000035,P0327,Fashion,4,598284
O000036,P0259,Rumah Tangga,4,2644646
O000036,P0068,Elektronik,1,2988591
O000036,P0488,Kecantikan,5,1252495
O000036,P0372,Rumah Tangga,5,2726591
O000037,P0174,Elektronik,5,2590085
O000038,P0124,Kecantikan,2,622838
O000038,P0410,Rumah Tangga,1,1088245
O000039,P0326,Elektronik,1,182750
O000040,P0160,Kecantikan,4,2450977
O000041,P0268,Elektronik,1,2784153
O000042,P0095,Fashion,3,390879
O000042,P0260,Makanan & Minuman,1,1128065
O000042,P0129,Rumah Tangga,1,804644
O000043,P0309,Makanan & Minuman,1,592122
O000043,P0089,Kecantikan,4,2611418
O000043,P0021,Makanan & Minuman,3,114806
O000043,P0106,Kecantikan,4,1572617
O000044,P0158,Kecantikan,2,1400671
O000044,P0032,Fashion,5,792141
O000044,P0093,Rumah Tangga,1,1443767
O000045,P0357,Rumah Tangga,2,819094
O000045,P0064,Fashion,1,1179848
O000045,P0080,Makanan & Minuman,1,544564
O000045,P0447,Kecantikan,3,2796726
O000046,P0125,Elektronik,2,351566
O000046,P0371,Makanan & Minuman,1,2924854
O000046,P0345,Makanan & Minuman,4,1373018
O000047,P0151,Rumah Tangga,4,180524
O000047,P0276,Rumah Tangga,3,1940370
O000047,P0247,Fashion,2,64230
O000048,P0168,Rumah Tangga,1,889343
O000048,P0071,Makanan & Minuman,1,1576547
O000048,P0145,Makanan & Minuman,4,2749839
O000048,P0012,Elektronik,1,252673
O000049,P0357,Rumah Tangga,1,819094
O000049,P0335,Elektronik,3,2787272
O000049,P0338,Rumah Tangga,3,2133953
O000049,P0050,Makanan & Minuman,1,79841
O000050,P0095,Fashion,2,390879
O000051,P0109,Kecantikan,5,1066290
O000051,P0479,Fashion,3,2673331
O000051,P0047,Makanan & Minuman,2,1898748
O000051,P0387,Makanan & Minuman,1,2108757
O000052,P0425,Elektronik,2,477471
O000053,P0119,Elektronik,2,2667146
O000053,P0279,Rumah Tangga,5,2795321
O000053,P0324,Fashion,2,2102532
O000054,P0377,Makanan & Minuman,5,367050
O000054,P0012,Elektronik,4,252673
O000054,P0257,Makanan & Minuman,1,672078
O000055,P0419,Elektronik,5,529117
O000055,P0387,Makanan & Minuman,1,2108757
O000055,P0453,Fashion,3,1283037
O000055,P0448,Fashion,2,1408613
O000056,P0028,Fashion,2,378663
O000056,P0073,Elektronik,3,1003744
O000056,P0139,Rumah Tangga,5,1180132
O000057,P0307,Makanan & Minuman,2,1938214
O000058,P0055,Fashion,3,342036
O000058,P0186,Makanan & Minuman,2,1818297
O000058,P0422,Fashion,2,1839269
O000058,P0430,Fashion,5,293544
O000059,P0342,Fashion,3,2912748
O000059,P0212,Makanan & Minuman,1,1933071
O000059,P0108,Elektronik,1,1719351
O000059,P0292,Elektronik,1,2899894
O000060,P0316,Fashion,2,1656612
O000060,P0271,Elektronik,2,2075987
O000060,P0061,Fashion,3,101389
O000061,P0325,Rumah Tangga,4,740251
O000061,P0328,Fashion,5,552375
O000062,P0100,Fashion,3,2967791
O000063,P0267,Rumah Tangga,4,2572414
O000063,P0002,Fashion,3,2217060
O000063,P0296,Elektronik,2,123121
O000063,P0345,Makanan & Minuman,3,1373018
O000064,P0135,Fashion,4,41464
O000064,P0327,Fashion,5,598284
O000065,P0266,Makanan & Minuman,1,982645
O000066,P0034,Elektronik,3,1478347
O000066,P0291,Elektronik,2,2413363
O000066,P0096,Kecantikan,4,262838
O000066,P0393,Makanan & Minuman,3,2626530
O000067,P0164,Kecantikan,2,615435
O000067,P0196,Fashion,3,2612836
O000067,P0155,Fashion,4,28377
O000068,P0280,Elektronik,5,373308
O000068,P0356,Makanan & Minuman,3,1306923
O000069,P0207,Elektronik,5,91844
O000069,P0300,Elektronik,5,81995
O000069,P0425,Elektronik,1,477471
O000069,P0059,Kecantikan,2,538499
O000070,P0240,Makanan & Minuman,1,2607125
O000070,P0176,Rumah Tangga,4,786558
O000070,P0137,Elektronik,3,2216098
O000071,P0001,Elektronik,3,612811
O000072,P0086,Makanan & Minuman,3,2412993
O000072,P0026,Rumah Tangga,1,711818
O000073,P0487,Elektronik,1,819941
O000073,P0005,Makanan & Minuman,2,2832184
O000074,P0083,Elektronik,1,1428170
O000074,P0497,Kecantikan,2,945636
O000074,P0064,Fashion,4,1179848
O000074,P0115,Elektronik,3,144086
O000075,P0445,Fashion,1,1162871
O000076,P0201,Kecantikan,4,232597
O000076,P0132,Fashion,3,2244261
O000076,P0234,Kecantikan,1,700732
O000077,P0393,Makanan & Minuman,2,2626530
O000077,P0490,Makanan & Minuman,2,1425054
O000077,P0214,Kecantikan,1,543848
O000078,P0010,Rumah Tangga,4,2796914
O000078,P0221,Elektronik,4,1627658
O000078,P0224,Rumah Tangga,5,2067655
O000078,P0077,Elektronik,3,2340791
O000079,P0056,Rumah Tangga,4,792516
O000079,P0258,Kecantikan,1,2905935
O000079,P0367,Fashion,5,2950862
O000079,P0357,Rumah Tangga,3,819094
O000080,P0498,Rumah Tangga,2,822619
O000081,P0194,Rumah Tangga,1,2626630
O000082,P0383,Rumah Tangga,3,2290453
O000082,P0002,Fashion,4,2217060
O000082,P0456,Elektronik,2,2427199
O000082,P0296,Elektronik,3,123121
O000083,P0300,Elektronik,5,81995
O000083,P0479,Fashion,1,2673331
O000083,P0287,Makanan & Minuman,2,1991872
O000084,P0443,Kecantikan,1,2324474
O000085,P0347,Fashion,5,1373297
O000086,P0123,Elektronik,4,161774
O000086,P0205,Kecantikan,1,2323021
O000087,P0406,Elektronik,4,2168199
O000088,P0384,Makanan & Minuman,4,2601515
O000088,P0050,Makanan & Minuman,5,79841
O000088,P0449,Fashion,4,2632665
O000088,P0147,Rumah Tangga,3,751282
O000089,P0083,Elektronik,2,1428170
O000089,P0013,Kecantikan,1,90181
O000089,P0278,Elektronik,5,852064
O000090,P0013,Kecantikan,4,90181
O000090,P0408,Makanan & Minuman,4,2483193
O000090,P0098,Makanan & Minuman,2,2935753
O000091,P0354,Elektronik,4,2341942
O000091,P0205,Kecantikan,5,2323021
O000092,P0417,Elektronik,1,2804826
O000092,P0072,Rumah Tangga,3,1945382
O000093,P0145,Makanan & Minuman,1,2749839
O000093,P0091,Fashion,4,134678
O000093,P0132,Fashion,5,2244261
O000093,P0003,Fashion,3,2849125
O000094,P0360,Kecantikan,5,218208
O000094,P0170,Kecantikan,1,1002358
O000095,P0200,Fashion,3,1235484
O000095,P0175,Rumah Tangga,5,2836702
O000095,P0267,Rumah Tangga,1,2572414
O000095,P0327,Fashion,3,598284
O000096,P0369,Kecantikan,2,504989
O000096,P0427,Elektronik,4,787078
O000097,P0016,Rumah Tangga,1,927528
O000098,P0027,Elektronik,5,2303565
O000098,P0066,Elektronik,1,751000
O000099,P0238,Kecantikan,4,1919685
O000099,P0113,Elektronik,3,2106051
O000100,P0262,Makanan & Minuman,3,1639628
O000101,P0003,Fashion,1,2849125
O000101,P0036,Makanan & Minuman,5,767019
O000101,P0060,Kecantikan,5,2974893
O000102,P0410,Rumah Tangga,3,1088245
O000103,P0004,Elektronik,3,1854858
O000103,P0037,Rumah Tangga,5,2405553
O000104,P0146,Fashion,2,1298379
O000104,P0247,Fashion,4,64230
O000105,P0164,Kecantikan,1,615435
O000105,P0076,Kecantikan,4,1247980
O000105,P0114,Rumah Tangga,4,2957111
O000106,P0410,Rumah Tangga,3,1088245
O000107,P0318,Fashion,2,1415714
O000108,P0398,Elektronik,5,2751919
O000109,P0109,Kecantikan,4,1066290
O000110,P0355,Fashion,4,1975410
O000110,P0241,Elektronik,4,1874139
O000110,P0018,Rumah Tangga,4,2976283
O000111,P0373,Fashion,1,1266069
O000111,P0204,Makanan & Minuman,5,1295116
O000111,P0122,Fashion,2,472290
O000112,P0133,Rumah Tangga,4,2355982
O000112,P0084,Makanan & Minuman,2,657388
O000113,P0090,Rumah Tangga,1,263063
O000113,P0299,Makanan & Minuman,2,421544
O000114,P0217,Makanan & Minuman,1,651363
O000115,P0163,Fashion,4,2458537
O000115,P0461,Kecantikan,3,1673271
O000115,P0412,Kecantikan,5,694275
O000116,P0166,Makanan & Minuman,3,2943950
O000117,P0425,Elektronik,3,477471
O000118,P0238,Kecantikan,4,1919685
O000119,P0313,Elektronik,2,2930997
O000119,P0357,Rumah Tangga,3,819094
O000120,P0321,Rumah Tangga,5,2084478
O000120,P0103,Elektronik,4,1268100
O000121,P0280,Elektronik,4,373308
O000121,P0222,Makanan & Minuman,5,1418677
O000121,P0477,Kecantikan,2,2173176
O000121,P0056,Rumah Tangga,4,792516
O000122,P0294,Kecantikan,4,1639796
O000122,P0432,Kecantikan,5,2465140
O000122,P0372,Rumah Tangga,3,2726591
O000122,P0150,Rumah Tangga,2,2319159
O000123,P0256,Makanan & Minuman,4,2744638
O000124,P0144,Kecantikan,2,1798218
O000124,P0094,Elektronik,2,889563
O000124,P0153,Fashion,5,2595051
O000124,P0043,Fashion,2,2345744
O000125,P0382,Kecantikan,3,2857095
O000125,P0396,Makanan & Minuman,3,2697865
O000125,P0085,Kecantikan,3,2909862
O000125,P0217,Makanan & Minuman,2,651363
O000126,P0357,Rumah Tangga,5,819094
O000126,P0343,Rumah Tangga,1,1571744
O000127,P0405,Fashion,2,2404934
O000127,P0040,Fashion,2,794638
O000127,P0057,Elektronik,5,2114135
O000127,P0339,Rumah Tangga,2,1433085
O000128,P0015,Makanan & Minuman,3,2529363
O000129,P0204,Makanan & Minuman,4,1295116
O000130,P0345,Makanan & Minuman,2,1373018
O000130,P0113,Elektronik,1,2106051
O000131,P0370,Makanan & Minuman,1,1320042
O000131,P0237,Fashion,2,837995
O000131,P0442,Elektronik,5,2116083
O000131,P0230,Fashion,1,2310994
O000132,P0073,Elektronik,3,1003744
O000132,P0020,Rumah Tangga,4,2620863
O000132,P0434,Elektronik,1,2262408
O000133,P0376,Fashion,3,840921
O000134,P0403,Kecantikan,1,1641547
O000135,P0460,Rumah Tangga,3,1628264
O000135,P0271,Elektronik,3,2075987
O000136,P0173,Kecantikan,4,1742745
O000136,P0231,Elektronik,5,355196
O000136,P0057,Elektronik,5,2114135
O000136,P0237,Fashion,1,837995
O000137,P0280,Elektronik,3,373308
O000137,P0212,Makanan & Minuman,2,1933071
O000137,P0021,Makanan & Minuman,4,114806
O000137,P0258,Kecantikan,5,2905935
O000138,P0412,Kecantikan,3,694275
O000139,P0012,Elektronik,5,252673
O000140,P0272,Makanan & Minuman,5,2704091
O000140,P0054,Rumah Tangga,2,1763632
O000141,P0311,Elektronik,4,2795549
O000141,P0373,Fashion,5,1266069
O000141,P0072,Rumah Tangga,3,1945382
O000141,P0171,Fashion,5,1921391
O000142,P0292,Elektronik,4,2899894
O000142,P0055,Fashion,4,342036
O000143,P0245,Rumah Tangga,5,2102845
O000143,P0156,Rumah Tangga,4,2804737
O000143,P0318,Fashion,2,1415714
O000143,P0436,Elektronik,2,1633124
O000144,P0167,Rumah Tangga,1,91101
O000144,P0463,Rumah Tangga,3,2331933
O000145,P0006,Rumah Tangga,3,1534060
O000145,P0097,Fashion,3,2270438
O000145,P0024,Elektronik,5,605178
O000146,P0077,Elektronik,4,2340791
O000147,P0411,Kecantikan,3,2012992
O000148,P0061,Fashion,2,101389
O000148,P0048,Kecantikan,4,1203946
O000148,P0177,Rumah Tangga,3,1989016
O000148,P0090,Rumah Tangga,3,263063
O000149,P0122,Fashion,2,472290
O000150,P0488,Kecantikan,3,1252495
O000151,P0299,Makanan & Minuman,4,421544
O000152,P0045,Elektronik,4,2916186
O000152,P0278,Elektronik,3,852064
O000152,P0214,Kecantikan,5,543848
O000152,P0396,Makanan & Minuman,3,2697865
O000153,P0233,Makanan & Minuman,5,682118
O000153,P0156,Rumah Tangga,3,2804737
O000153,P0398,Elektronik,1,2751919
O000154,P0187,Makanan & Minuman,4,1131808
O000154,P0240,Makanan & Minuman,2,2607125
O000154,P0219,Makanan & Minuman,5,68235
O000155,P0440,Makanan & Minuman,2,401781
O000155,P0424,Kecantikan,3,1987140
O000155,P0026,Rumah Tangga,3,711818
O000155,P0494,Elektronik,3,2925973
O000156,P0297,Fashion,4,1774752
O000156,P0274,Makanan & Minuman,2,1236014
O000156,P0118,Fashion,4,210229
O000156,P0427,Elektronik,2,787078
O000157,P0318,Fashion,1,1415714
O000157,P0209,Rumah Tangga,1,1963909
O000158,P0198,Elektronik,3,1489863
O000158,P0274,Makanan & Minuman,3,1236014
O000158,P0032,Fashion,4,792141
O000158,P0162,Elektronik,5,1924149
O000159,P0180,Makanan & Minuman,2,908504
O000159,P0185,Elektronik,3,2320423
O000160,P0023,Elektronik,5,2790382
O000160,P0298,Makanan & Minuman,1,667501
O000161,P0102,Fashion,2,2324168
O000162,P0419,Elektronik,5,529117
O000162,P0431,Fashion,5,59996
O000162,P0108,Elektronik,3,1719351
O000162,P0189,Elektronik,4,1838006
O000163,P0491,Fashion,2,1384865
O000163,P0286,Fashion,4,2039114
O000163,P0350,Fashion,4,559603
O000164,P0359,Fashion,5,2564206
O000165,P0317,Makanan & Minuman,2,710596
O000165,P0398,Elektronik,4,2751919
O000166,P0103,Elektronik,2,1268100
O000166,P0015,Makanan & Minuman,3,2529363
O000166,P0490,Makanan & Minuman,2,1425054
O000167,P0246,Makanan & Minuman,3,826350
O000167,P0393,Makanan & Minuman,3,2626530
O000168,P0304,Fashion,3,2180380
O000168,P0068,Elektronik,4,2988591
O000168,P0415,Makanan & Minuman,4,1098058
O000168,P0480,Kecantikan,1,2490263
O000169,P0197,Kecantikan,3,2356321
O000169,P0187,Makanan & Minuman,2,1131808
O000170,P0386,Kecantikan,2,2236665
O000170,P0205,Kecantikan,1,2323021
O000170,P0247,Fashion,3,64230
O000171,P0119,Elektronik,4,2667146
O000171,P0357,Rumah Tangga,3,819094
O000171,P0219,Makanan & Minuman,4,68235
O000172,P0244,Kecantikan,2,1924841
O000172,P0094,Elektronik,3,889563
O000172,P0443,Kecantikan,2,2324474
O000173,P0122,Fashion,3,472290
O000173,P0257,Makanan & Minuman,2,672078
O000174,P0391,Makanan & Minuman,4,2513155
O000174,P0148,Makanan & Minuman,4,2877558
O000175,P0292,Elektronik,1,2899894
O000176,P0050,Makanan & Minuman,2,79841
O000176,P0335,Elektronik,4,2787272
O000177,P0193,Elektronik,5,1667106
O000178,P0204,Makanan & Minuman,5,1295116
O000178,P0320,Elektronik,1,1605897
O000178,P0046,Fashion,2,2224895
O000178,P0404,Fashion,5,1936356
O000179,P0052,Fashion,2,2371483
O000179,P0279,Rumah Tangga,5,2795321
O000180,P0077,Elektronik,1,2340791
O000180,P0089,Kecantikan,3,2611418
O000181,P0266,Makanan & Minuman,3,982645
O000182,P0315,Fashion,5,2838027
O000182,P0034,Elektronik,5,1478347
O000183,P0178,Rumah Tangga,3,1009333
O000184,P0270,Kecantikan,5,1165353
O000184,P0261,Kecantikan,2,1999186
O000184,P0457,Kecantikan,2,2263693
O000184,P0218,Fashion,2,541171
O000185,P0305,Kecantikan,3,434296
O000185,P0428,Kecantikan,5,2891205
O000185,P0212,Makanan & Minuman,4,1933071
O000186,P0183,Rumah Tangga,5,448359
O000186,P0252,Makanan & Minuman,1,310948
O000186,P0393,Makanan & Minuman,1,2626530
O000186,P0242,Makanan & Minuman,2,2330016
O000187,P0210,Rumah Tangga,2,424512
O000187,P0178,Rumah Tangga,4,1009333
O000187,P0135,Fashion,4,41464
O000188,P0263,Elektronik,1,1170967
O000188,P0339,Rumah Tangga,3,1433085
O000188,P0322,Fashion,5,98321
O000189,P0172,Elektronik,5,274394
O000189,P0005,Makanan & Minuman,4,2832184
O000190,P0301,Rumah Tangga,3,2110072
O000191,P0093,Rumah Tangga,1,1443767
O000192,P0221,Elektronik,4,1627658
O000192,P0426,Rumah Tangga,4,2260502
O000193,P0184,Elektronik,4,1647634
O000194,P0152,Fashion,4,949823
O000194,P0041,Elektronik,2,2613908
O000195,P0059,Kecantikan,4,538499
O000195,P0473,Elektronik,2,439848
O000195,P0230,Fashion,4,2310994
O000195,P0289,Kecantikan,1,1016401
O000196,P0068,Elektronik,4,2988591
O000196,P0489,Elektronik,5,1024317
O000197,P0197,Kecantikan,3,2356321
O000197,P0225,Elektronik,4,807003
O000197,P0307,Makanan & Minuman,1,1938214
O000198,P0240,Makanan & Minuman,1,2607125
O000198,P0318,Fashion,3,1415714
O000199,P0236,Kecantikan,5,1589685
O000199,P0062,Fashion,4,2502882
O000200,P0159,Makanan & Minuman,3,1955460
O000200,P0189,Elektronik,2,1838006
O000201,P0127,Makanan & Minuman,3,1408569
O000201,P0397,Kecantikan,3,350608
O000201,P0327,Fashion,4,598284
O000201,P0323,Fashion,4,495126
O000202,P0080,Makanan & Minuman,5,544564
O000202,P0404,Fashion,3,1936356
O000202,P0367,Fashion,4,2950862
O000202,P0252,Makanan & Minuman,3,310948
O000203,P0085,Kecantikan,4,2909862
O000204,P0084,Makanan & Minuman,2,657388
O000204,P0234,Kecantikan,3,700732
O000204,P0290,Elektronik,2,2188085
O000204,P0203,Fashion,4,1292601
O000205,P0382,Kecantikan,3,2857095
O000205,P0287,Makanan & Minuman,1,1991872
O000206,P0153,Fashion,5,2595051
O000207,P0298,Makanan & Minuman,4,667501
O000207,P0470,Fashion,5,103627
O000207,P0175,Rumah Tangga,5,2836702
O000207,P0204,Makanan & Minuman,3,1295116
O000208,P0415,Makanan & Minuman,1,1098058
O000208,P0470,Fashion,4,103627
O000208,P0500,Elektronik,4,2775440
O000208,P0203,Fashion,1,1292601
O000209,P0090,Rumah Tangga,3,263063
O000210,P0442,Elektronik,5,2116083
O000210,P0048,Kecantikan,1,1203946
O000210,P0005,Makanan & Minuman,1,2832184
O000211,P0315,Fashion,3,2838027
O000211,P0117,Elektronik,3,872179
O000211,P0175,Rumah Tangga,5,2836702
O000211,P0086,Makanan & Minuman,2,2412993
O000212,P0404,Fashion,1,1936356
O000212,P0206,Makanan & Minuman,4,1777945
O000212,P0358,Elektronik,4,2032780
O000213,P0105,Fashion,5,2996196
O000213,P0225,Elektronik,3,807003
O000213,P0233,Makanan & Minuman,4,682118
O000214,P0357,Rumah Tangga,4,819094
O000214,P0321,Rumah Tangga,1,2084478
O000215,P0381,Kecantikan,5,1088393
O000216,P0406,Elektronik,2,2168199
O000216,P0376,Fashion,4,840921
O000216,P0326,Elektronik,4,182750
O000216,P0181,Kecantikan,4,2318630
O000217,P0131,Rumah Tangga,5,2283604
O000218,P0353,Fashion,2,1492518
O000218,P0163,Fashion,2,2458537
O000218,P0304,Fashion,1,2180380
O000219,P0499,Kecantikan,2,2180244
O000219,P0204,Makanan & Minuman,1,1295116
O000219,P0314,Fashion,5,1937343
O000219,P0071,Makanan & Minuman,1,1576547
O000220,P0090,Rumah Tangga,5,263063
O000220,P0337,Makanan & Minuman,5,2322444
O000221,P0222,Makanan & Minuman,4,1418677
O000221,P0155,Fashion,5,28377
O000221,P0095,Fashion,3,390879
O000222,P0231,Elektronik,3,355196
O000222,P0458,Rumah Tangga,5,1147943
O000222,P0317,Makanan & Minuman,2,710596
O000222,P0214,Kecantikan,3,543848
O000223,P0247,Fashion,4,64230
O000224,P0237,Fashion,5,837995
O000224,P0158,Kecantikan,2,1400671
O000224,P0500,Elektronik,3,2775440
O000224,P0230,Fashion,2,2310994
O000225,P0176,Rumah Tangga,1,786558
O000225,P0012,Elektronik,3,252673
O000225,P0030,Rumah Tangga,4,69847
O000226,P0114,Rumah Tangga,5,2957111
O000226,P0108,Elektronik,4,1719351
O000227,P0414,Kecantikan,2,1149792
O000227,P0074,Elektronik,3,316092
O000227,P0040,Fashion,1,794638
O000228,P0011,Kecantikan,2,1465274
O000228,P0417,Elektronik,1,2804826
O000228,P0312,Elektronik,3,1658132
O000229,P0386,Kecantikan,2,2236665
O000229,P0390,Kecantikan,5,353852
O000229,P0155,Fashion,1,28377
O000230,P0203,Fashion,3,1292601
O000230,P0263,Elektronik,1,1170967
O000230,P0182,Makanan & Minuman,5,334258
O000230,P0324,Fashion,1,2102532
O000231,P0185,Elektronik,2,2320423
O000231,P0361,Makanan & Minuman,2,1206744
O000231,P0135,Fashion,5,41464
O000231,P0493,Elektronik,3,2328526
O000232,P0401,Kecantikan,3,2739108
O000232,P0341,Elektronik,4,1043558
O000232,P0227,Elektronik,2,601970
O000233,P0335,Elektronik,2,2787272
O000233,P0071,Makanan & Minuman,5,1576547
O000233,P0051,Kecantikan,2,2577061
O000233,P0003,Fashion,1,2849125
O000234,P0059,Kecantikan,2,538499
O000234,P0393,Makanan & Minuman,4,2626530
O000234,P0477,Kecantikan,2,2173176
O000235,P0151,Rumah Tangga,2,180524
O000236,P0330,Makanan & Minuman,2,2984960
O000236,P0282,Makanan & Minuman,4,918770
O000236,P0328,Fashion,1,552375
O000236,P0216,Kecantikan,3,2220750
O000237,P0239,Elektronik,3,901336
O000238,P0367,Fashion,1,2950862
O000239,P0199,Kecantikan,4,50098
O000239,P0262,Makanan & Minuman,2,1639628
O000240,P0352,Fashion,2,1901988
O000241,P0294,Kecantikan,4,1639796
O000241,P0010,Rumah Tangga,4,2796914
O000241,P0198,Elektronik,3,1489863
O000241,P0385,Kecantikan,5,2229728
O000242,P0250,Rumah Tangga,3,2750832
O000243,P0378,Kecantikan,2,1405602
O000243,P0105,Fashion,1,2996196
O000243,P0188,Elektronik,2,2764856
O000244,P0498,Rumah Tangga,4,822619
O000244,P0239,Elektronik,1,901336
O000244,P0070,Rumah Tangga,2,1621900
O000244,P0207,Elektronik,1,91844
O000245,P0023,Elektronik,2,2790382
O000245,P0034,Elektronik,3,1478347
O000245,P0355,Fashion,3,1975410
O000246,P0271,Elektronik,2,2075987
O000246,P0345,Makanan & Minuman,2,1373018
O000247,P0145,Makanan & Minuman,2,2749839
O000248,P0249,Fashion,3,474984
O000249,P0043,Fashion,3,2345744
O000249,P0313,Elektronik,4,2930997
O000250,P0332,Makanan & Minuman,4,436089
O000250,P0194,Rumah Tangga,2,2626630
O000250,P0107,Rumah Tangga,1,2656630
O000250,P0134,Rumah Tangga,1,2019459
O000251,P0183,Rumah Tangga,4,448359
O000251,P0384,Makanan & Minuman,1,2601515
O000252,P0152,Fashion,3,949823
O000252,P0094,Elektronik,3,889563
O000253,P0297,Fashion,3,1774752
O000253,P0162,Elektronik,2,1924149
O000253,P0230,Fashion,4,2310994
O000253,P0147,Rumah Tangga,1,751282
O000254,P0084,Makanan & Minuman,4,657388
O000255,P0094,Elektronik,3,889563
O000255,P0181,Kecantikan,3,2318630
O000255,P0387,Makanan & Minuman,1,2108757
O000256,P0475,Makanan & Minuman,2,2931598
O000256,P0494,Elektronik,4,2925973
O000256,P0090,Rumah Tangga,2,263063
O000256,P0281,Fashion,4,1934249
O000257,P0167,Rumah Tangga,4,91101
O000257,P0474,Elektronik,2,90529
O000258,P0417,Elektronik,5,2804826
O000258,P0157,Fashion,2,2598858
O000258,P0027,Elektronik,2,2303565
O000258,P0348,Rumah Tangga,2,2086325
O000259,P0150,Rumah Tangga,5,2319159
O000259,P0280,Elektronik,1,373308
O000260,P0268,Elektronik,5,2784153
O000260,P0295,Fashion,1,681046
O000260,P0342,Fashion,2,2912748
O000260,P0206,Makanan & Minuman,1,1777945
O000261,P0142,Makanan & Minuman,4,1984812
O000261,P0304,Fashion,4,2180380
O000261,P0226,Fashion,1,61704
O000261,P0317,Makanan & Minuman,3,710596
O000262,P0382,Kecantikan,2,2857095
O000263,P0370,Makanan & Minuman,3,1320042
O000263,P0440,Makanan & Minuman,3,401781
O000263,P0256,Makanan & Minuman,4,2744638
O000263,P0327,Fashion,5,598284
O000264,P0385,Kecantikan,2,2229728
O000264,P0103,Elektronik,2,1268100
O000264,P0424,Kecantikan,1,1987140
O000264,P0108,Elektronik,4,1719351
O000265,P0393,Makanan & Minuman,2,2626530
O000265,P0153,Fashion,4,2595051
O000266,P0263,Elektronik,1,1170967
O000267,P0111,Kecantikan,1,1092380
O000267,P0281,Fashion,5,1934249
O000267,P0404,Fashion,4,1936356
O000268,P0316,Fashion,2,1656612
O000268,P0271,Elektronik,5,2075987
O000268,P0054,Rumah Tangga,1,1763632
O000268,P0056,Rumah Tangga,5,792516
O000269,P0018,Rumah Tangga,3,2976283
O000270,P0022,Elektronik,5,1324618
O000270,P0282,Makanan & Minuman,4,918770
O000270,P0337,Makanan & Minuman,5,2322444
O000270,P0071,Makanan & Minuman,2,1576547
O000271,P0186,Makanan & Minuman,3,1818297
O000272,P0017,Fashion,2,471688
O000272,P0424,Kecantikan,2,1987140
O000273,P0204,Makanan & Minuman,4,1295116
O000274,P0244,Kecantikan,3,1924841
