order_id,payment_method,payment_amount,payment_status
O000097,Transfer Bank,927528,failed
O000098,ShopeePay,12268825,success
O000099,Kartu Kredit,13996893,success
O000100,Kartu Kredit,4918884,success
O000101,ShopeePay,21558685,failed
O000102,COD,3264735,success
O000103,COD,17592339,success
O000104,ShopeePay,2853678,success
O000105,Kartu Kredit,17435799,success
O000106,COD,3264735,success
O000107,Kartu Kredit,2831428,success
O000108,ShopeePay,13759595,success
O000109,Transfer Bank,4265160,success
O000110,Transfer Bank,27303328,success
O000111,ShopeePay,8686229,success
O000112,Kartu Kredit,10738704,success
O000113,Transfer Bank,1106151,success
O000114,Transfer Bank,651363,success
O000115,Kartu Kredit,18325336,failed
O000116,COD,8831850,success
O000117,Kartu Kredit,1432413,success
O000118,Transfer Bank,7678740,success
O000119,Transfer Bank,8319276,success
O000120,COD,15494790,failed
O000121,Transfer Bank,16103033,success
O000122,Kartu Kredit,31702975,success
O000123,Kartu Kredit,10978552,failed
O000124,ShopeePay,23042305,success
O000125,Transfer Bank,26697192,success
O000126,Transfer Bank,5667214,success
O000127,COD,19835989,success
O000128,COD,7588089,success
O000129,COD,5180464,success
O000130,Kartu Kredit,4852087,success
O000131,Transfer Bank,15887441,success
O000132,ShopeePay,15757092,failed
O000133,Kartu Kredit,2522763,success
O000134,ShopeePay,1641547,success
O000135,COD,11112753,success
O000136,ShopeePay,20155630,success
O000137,Kartu Kredit,19974965,success
O000138,Kartu Kredit,2082825,failed
O000139,COD,1263365,success
O000140,COD,17047719,success
O000141,COD,32955642,success
O000142,Transfer Bank,12967720,success
O000143,Transfer Bank,27830849,success
O000144,Transfer Bank,7086900,success
O000145,Kartu Kredit,14439384,failed
O000146,Transfer Bank,9363164,success
O000147,ShopeePay,6038976,success
O000148,Transfer Bank,11774799,success
O000149,Transfer Bank,944580,success
O000150,COD,3757485,failed
O000151,Transfer Bank,1686176,success
O000152,Kartu Kredit,25033771,success
O000153,Transfer Bank,14576720,success
O000154,ShopeePay,10082657,success
O000155,Kartu Kredit,17678355,success
O000156,Transfer Bank,11986108,success
O000157,ShopeePay,3379623,success
O000158,Transfer Bank,20966940,success
O000159,COD,8778277,success
O000160,COD,14619411,success
O000161,COD,4648336,failed
O000162,Transfer Bank,15455642,success
O000163,Kartu Kredit,13164598,success
O000164,Transfer Bank,12821030,success
O000165,COD,12428868,failed
O000166,Kartu Kredit,12974397,success
O000167,Kartu Kredit,10358640,success
O000168,ShopeePay,25377999,success
O000169,ShopeePay,9332579,success
O000170,Transfer Bank,6989041,success
O000171,Transfer Bank,13398806,success
O000172,Kartu Kredit,11167319,success
O000173,Kartu Kredit,2761026,success
O000174,ShopeePay,21562852,success
O000175,Kartu Kredit,2899894,success
O000176,COD,11308770,success
O000177,Transfer Bank,8335530,failed
O000178,Transfer Bank,22213047,success
O000179,Transfer Bank,18719571,failed
O000180,Kartu Kredit,10175045,success
O000181,Kartu Kredit,2947935,failed
O000182,ShopeePay,21581870,failed
O000183,ShopeePay,3027999,success
O000184,COD,15434865,failed
O000185,ShopeePay,23491197,failed
O000186,Kartu Kredit,9839305,success
O000187,ShopeePay,5052212,success
O000188,Kartu Kredit,5961827,success
O000189,ShopeePay,12700706,success
O000190,Transfer Bank,6330216,failed
O000191,ShopeePay,1443767,success
O000192,COD,15552640,success
O000193,Kartu Kredit,6590536,success
O000194,Transfer Bank,9027108,success
O000195,ShopeePay,13294069,success
O000196,Kartu Kredit,17075949,success
O000197,Kartu Kredit,12235189,success
O000198,Kartu Kredit,6854267,success
O000199,COD,17959953,failed
O000200,COD,9542392,success
O000201,Kartu Kredit,9651171,failed
O000202,ShopeePay,21268180,success
O000203,Kartu Kredit,11639448,success
O000204,ShopeePay,12963546,success
O000205,ShopeePay,10563157,success
O000206,COD,12975255,failed
O000207,Transfer Bank,21256997,success
O000208,COD,13906927,success
O000209,Transfer Bank,789189,success
O000210,COD,14616545,success
O000211,Transfer Bank,30140114,success
O000212,Kartu Kredit,17179256,success
O000213,Transfer Bank,20130461,success
O000214,ShopeePay,5360854,success
O000215,COD,5441965,success
O000216,Transfer Bank,17705602,success
O000217,Kartu Kredit,11418020,success
O000218,COD,10082490,success
O000219,COD,16918866,success
O000220,Kartu Kredit,12927535,success
O000221,Kartu Kredit,6989230,success
O000222,ShopeePay,9858039,success
O000223,Kartu Kredit,256920,success
O000224,COD,19939625,success
O000225,COD,1823965,success
O000226,Kartu Kredit,21662959,success
O000227,Transfer Bank,4042498,success
O000228,COD,10709770,success
O000229,COD,6270967,success
O000230,Transfer Bank,8822592,success
O000231,Transfer Bank,14247232,success
O000232,COD,13595496,success
O000233,COD,21460526,success
O000234,COD,15929470,success
O000235,Kartu Kredit,361048,success
O000236,COD,16859625,success
O000237,Kartu Kredit,2704008,success
O000238,COD,2950862,success
O000239,Kartu Kredit,3479648,success
O000240,COD,3803976,success
O000241,Kartu Kredit,33365069,success
O000242,ShopeePay,8252496,success
O000243,COD,11337112,success
O000244,COD,7527456,success
O000245,Transfer Bank,15942035,success
O000246,Transfer Bank,6898010,success
O000247,Transfer Bank,5499678,success
O000248,ShopeePay,1424952,success
O000249,ShopeePay,18761220,success
O000250,ShopeePay,11673705,success
O000251,Transfer Bank,4394951,success
O000252,Kartu Kredit,5518158,success
O000253,COD,19167812,success
O000254,COD,2629552,success
O000255,COD,11733336,failed
O000256,ShopeePay,25830210,failed
O000257,Kartu Kredit,545462,success
O000258,ShopeePay,28001626,success
O000259,COD,11969103,success
O000260,ShopeePay,22205252,success
O000261,Transfer Bank,18854260,success
O000262,COD,5714190,success
O000263,Transfer Bank,19135441,success
O000264,Transfer Bank,15860200,success
O000265,Kartu Kredit,15633264,success
O000266,Kartu Kredit,1170967,success
O000267,COD,18509049,success
O000268,ShopeePay,19419371,failed
O000269,ShopeePay,8928849,failed
O000270,COD,25063484,success
O000271,COD,5454891,success
O000272,Kartu Kredit,4917656,success
O000273,Kartu Kredit,5180464,success
O000274,COD,16876283,success
O000275,Transfer Bank,8644056,success
O000276,COD,18001423,success
O000277,Kartu Kredit,7293764,success
O000278,ShopeePay,6040696,success
O000279,COD,5859048,success
O000280,Kartu Kredit,12915071,success
O000281,Transfer Bank,8938828,success
O000282,Kartu Kredit,2393136,success
O000283,ShopeePay,7165425,success
O000284,Kartu Kredit,15470398,success
O000285,ShopeePay,24421363,success
O000286,COD,9995930,success
O000287,Transfer Bank,12947470,success
O000288,Transfer Bank,12031565,success
O000289,ShopeePay,12702290,success
O000290,Kartu Kredit,572728,success
O000291,Transfer Bank,16611543,failed
O000292,COD,14881415,success
O000293,Kartu Kredit,1230870,success
O000294,Kartu Kredit,11941591,success
O000295,COD,2645585,success
O000296,Kartu Kredit,5967048,success
O000297,Transfer Bank,6721692,success
O000298,Transfer Bank,14171503,success
O000299,Kartu Kredit,12804705,success
O000300,Transfer Bank,11600907,failed
O000301,Kartu Kredit,1272090,success
O000302,ShopeePay,19525218,failed
O000303,ShopeePay,20215504,success
O000304,COD,8215562,failed
O000305,Transfer Bank,13597436,success
O000306,ShopeePay,11142354,success
O000307,Transfer Bank,11920727,failed
O000308,Kartu Kredit,114806,success
O000309,Transfer Bank,8740241,success
O000310,ShopeePay,9196345,failed
O000311,Transfer Bank,11812652,success
O000312,COD,8337912,failed
O000313,COD,7911682,failed
O000314,ShopeePay,4189975,success
O000315,COD,26531836,success
O000316,COD,12236820,success
O000317,Transfer Bank,7281597,success
O000318,COD,19898768,success
O000319,COD,21761583,success
O000320,Kartu Kredit,21910316,success
O000321,Kartu Kredit,27065692,success
O000322,Transfer Bank,9308721,success
O000323,ShopeePay,17886315,success
O000324,COD,11331991,success
O000325,ShopeePay,5337075,success
O000326,ShopeePay,17635977,success
O000327,COD,35339228,success
O000328,ShopeePay,27057927,success
O000329,Transfer Bank,3367537,success
O000330,ShopeePay,28314020,success
O000331,COD,12410758,success
O000332,Transfer Bank,2377783,success
O000333,Kartu Kredit,11309508,success
O000334,Kartu Kredit,18578379,success
O000335,Transfer Bank,3785754,failed
O000336,COD,9748176,success
O000337,Kartu Kredit,16776676,success
O000338,COD,4168956,success
O000339,ShopeePay,3203796,success
O000340,Transfer Bank,11555809,success
O000341,Kartu Kredit,10886414,success
O000342,ShopeePay,1544039,success
O000343,COD,1066290,success
O000344,ShopeePay,6087523,success
O000345,Kartu Kredit,8176795,failed
O000346,COD,9201306,success
O000347,Kartu Kredit,11812421,success
O000348,Kartu Kredit,2176490,success
O000349,Transfer Bank,11735865,success
O000350,ShopeePay,15436186,success
O000351,ShopeePay,5840319,success
O000352,Transfer Bank,10696522,success
O000353,Transfer Bank,13978951,success
O000354,ShopeePay,11487678,success
O000355,Transfer Bank,14438582,success
O000356,Transfer Bank,966300,success
O000357,Transfer Bank,27851368,success
O000358,ShopeePay,405556,failed
O000359,COD,17381704,success
O000360,ShopeePay,10857364,success
O000361,ShopeePay,26848524,success
O000362,COD,1787673,success
O000363,COD,181058,success
O000364,Transfer Bank,2668029,success
O000365,Kartu Kredit,16548388,success
O000366,Transfer Bank,11008510,success
O000367,ShopeePay,17200867,success
O000368,Transfer Bank,10989913,success
O000369,Kartu Kredit,2320423,success
O000370,ShopeePay,7285541,success
O000371,Transfer Bank,21090247,success
O000372,Transfer Bank,21306435,success
O000373,Kartu Kredit,9778415,success
O000374,COD,3839370,success
O000375,COD,17764712,success
O000376,Transfer Bank,20419239,success
O000377,COD,19244068,success
O000378,Transfer Bank,7451875,success
O000379,COD,7966377,success
O000380,ShopeePay,7116100,success
O000381,Transfer Bank,16409025,success
O000382,ShopeePay,13506938,success
O000383,COD,27099083,failed
O000384,Transfer Bank,11701851,success
O000385,Transfer Bank,15907329,success
O000386,ShopeePay,18936591,success
O000387,Kartu Kredit,12872506,success
O000388,Kartu Kredit,21185554,failed
O000389,Kartu Kredit,13481520,success
O000390,Transfer Bank,16354457,success
O000391,ShopeePay,11728720,success
O000392,Transfer Bank,2175392,success
O000393,Transfer Bank,17657759,success
O000394,Transfer Bank,4080730,failed
O000395,Kartu Kredit,3932790,success
O000396,ShopeePay,11894048,success
O000397,Kartu Kredit,611104,failed
O000398,ShopeePay,29241994,success
O000399,COD,4812293,success
O000400,COD,6162645,success
O000401,Transfer Bank,18728875,failed
O000402,COD,10163314,success
O000403,COD,4238657,success
O000404,Transfer Bank,10570730,success
O000405,ShopeePay,9324468,failed
O000406,ShopeePay,17862059,success
O000407,COD,10693324,success
O000408,ShopeePay,23992782,success
O000409,Transfer Bank,20925288,success
O000410,ShopeePay,9906157,success
O000411,Kartu Kredit,3398924,success
O000412,COD,19525448,failed
O000413,COD,5663162,failed
O000414,Kartu Kredit,16596587,success
O000415,ShopeePay,5574544,success
O000416,Kartu Kredit,14964154,failed
O000417,Transfer Bank,9196215,success
O000418,ShopeePay,6440561,success
O000419,COD,13769858,success
O000420,COD,8962256,success
O000421,ShopeePay,23122089,success
O000422,Kartu Kredit,2320423,success
O000423,ShopeePay,37344740,success
O000424,Transfer Bank,20731493,success
O000425,Kartu Kredit,1673271,success
O000426,Transfer Bank,15221161,success
O000427,Kartu Kredit,14211495,success
O000428,Kartu Kredit,1924841,success
O000429,Kartu Kredit,1418666,success
O000430,COD,5819724,success
O000431,Kartu Kredit,1254080,success
O000432,Transfer Bank,22163290,failed
O000433,ShopeePay,9834148,success
O000434,ShopeePay,6655583,success
O000435,ShopeePay,7021321,success
O000436,Kartu Kredit,15830004,success
O000437,ShopeePay,5366118,success
O000438,ShopeePay,2117677,success
O000439,ShopeePay,5642354,success
O000440,Transfer Bank,544564,success
O000441,Transfer Bank,20648748,success
O000442,Transfer Bank,4838752,success
O000443,Kartu Kredit,6064487,success
O000444,COD,10822735,success
O000445,ShopeePay,11037984,success
O000446,Transfer Bank,36026133,success
O000447,ShopeePay,22701839,success
O000448,ShopeePay,9936756,success
O000449,Kartu Kredit,38515131,success
O000450,COD,2667146,success
O000451,ShopeePay,5121882,success
O000452,COD,14272363,success
O000453,Kartu Kredit,18255314,success
O000454,Transfer Bank,23429899,success
O000455,Kartu Kredit,19538455,success
O000456,Transfer Bank,7482238,success
O000457,Transfer Bank,11787034,success
O000458,ShopeePay,24741016,success
O000459,COD,7967488,failed
O000460,Kartu Kredit,20646033,success
O000461,COD,14244026,success
O000462,ShopeePay,16780668,success
O000463,ShopeePay,3987140,success
O000464,COD,26512565,success
O000465,COD,16900491,success
O000466,COD,2611418,success
O000467,COD,22698332,failed
O000468,Transfer Bank,23765058,success
O000469,Kartu Kredit,20229900,success
O000470,COD,2775440,success
O000471,Kartu Kredit,13258254,success
O000472,COD,10379935,failed
O000473,Transfer Bank,3005503,success
O000474,Kartu Kredit,1937343,success
O000475,Transfer Bank,6688709,success
O000476,Transfer Bank,9055252,success
O000477,Kartu Kredit,6800932,success
O000478,COD,7821840,success
O000479,ShopeePay,11726441,success
O000480,Kartu Kredit,12160138,success
O000481,Transfer Bank,18555837,success
O000482,Kartu Kredit,15047840,success
O000483,Transfer Bank,24987005,success
O000484,ShopeePay,12496358,success
O000485,COD,9315127,success
O000486,Kartu Kredit,18207403,success
O000487,COD,19551288,success
O000488,Transfer Bank,25532403,success
O000489,Kartu Kredit,10902865,failed
O000490,Transfer Bank,11602115,failed
O000491,ShopeePay,3892107,success
O000492,ShopeePay,1758715,success
O000493,Kartu Kredit,9262742,success
O000494,Kartu Kredit,10720957,success
O000495,ShopeePay,15012684,success
O000496,ShopeePay,11824604,success
O000497,Kartu Kredit,15690164,success
O000498,ShopeePay,12338904,failed
O000499,COD,11779910,success
O000500,ShopeePay,14036424,failed
O000501,Transfer Bank,1582030,success
O000502,Transfer Bank,9382444,success
O000503,COD,4018935,failed
O000504,Transfer Bank,12300748,success
O000505,ShopeePay,14553245,success
O000506,ShopeePay,17030530,success
O000507,Transfer Bank,14470581,success
O000508,ShopeePay,11542680,success
O000509,Kartu Kredit,12296802,success
O000510,Transfer Bank,3830932,success
O000511,ShopeePay,9970755,success
O000512,Transfer Bank,9138030,success
O000513,ShopeePay,10999356,success
O000514,Kartu Kredit,1825870,success
O000515,COD,13292136,success
O000516,Kartu Kredit,5289292,failed
O000517,Kartu Kredit,6928543,failed
O000518,Transfer Bank,20179188,success
O000519,COD,19900698,success
O000520,ShopeePay,30667740,success
O000521,ShopeePay,8386647,success
O000522,ShopeePay,2905935,success
O000523,COD,173334,success
O000524,Transfer Bank,3636701,success
O000525,ShopeePay,31740822,success
O000526,Kartu Kredit,7459696,success
O000527,COD,2461740,success
O000528,COD,82928,success
O000529,ShopeePay,3971238,success
O000530,Kartu Kredit,11070768,failed
O000531,Transfer Bank,4377830,failed
O000532,Transfer Bank,6574940,failed
O000533,ShopeePay,1815534,success
O000534,Transfer Bank,6205290,success
O000535,ShopeePay,344418,success
O000536,Kartu Kredit,14850314,success
O000537,Transfer Bank,402249,success
O000538,Transfer Bank,9033980,success
O000539,COD,1303860,success
O000540,Kartu Kredit,1848201,success
O000541,Transfer Bank,4216806,success
O000542,Transfer Bank,15993260,success
O000543,ShopeePay,4593214,success
O000544,Transfer Bank,4225839,success
O000545,COD,7072134,success
O000546,Kartu Kredit,14511852,success
O000547,Transfer Bank,10380051,success
O000548,ShopeePay,9244568,success
O000549,Kartu Kredit,14445170,failed
O000550,COD,6949435,success
O000551,Kartu Kredit,21235637,success
O000552,Kartu Kredit,10838058,failed
O000553,ShopeePay,19936134,success
O000554,ShopeePay,22588905,success
O000555,Transfer Bank,7749372,success
O000556,Transfer Bank,9734527,success
O000557,Kartu Kredit,13419604,success
O000558,Transfer Bank,18212760,success
O000559,ShopeePay,9831938,success
O000560,Transfer Bank,8017010,success
O000561,COD,10723783,failed
O000562,Kartu Kredit,9783943,success
O000563,ShopeePay,1737184,success
O000564,Kartu Kredit,12975255,success
O000565,ShopeePay,7218835,success
O000566,ShopeePay,24743908,success
O000567,COD,11699416,failed
O000568,Kartu Kredit,12134153,failed
O000569,ShopeePay,19245540,success
O000570,Transfer Bank,17165916,failed
O000571,Transfer Bank,22792006,success
O000572,Transfer Bank,849024,success
O000573,ShopeePay,2532138,failed
O000574,ShopeePay,11147522,success
O000575,COD,7824987,success
O000576,Kartu Kredit,4207606,failed
O000577,Transfer Bank,7488951,success
O000578,COD,1009978,success
O000579,Transfer Bank,4567208,success
O000580,Kartu Kredit,8721547,success
O000581,Transfer Bank,3749592,success
O000582,ShopeePay,19890442,success
O000583,COD,4184775,failed
O000584,Transfer Bank,10523702,success
O000585,Transfer Bank,6732783,success
O000586,Transfer Bank,1230870,success
O000587,COD,14021128,success
O000588,ShopeePay,6395749,success
O000589,Kartu Kredit,2262408,success
O000590,COD,8584599,success
O000591,Kartu Kredit,4205690,success
O000592,COD,20200317,success
O000593,ShopeePay,23557102,success
O000594,ShopeePay,25256179,success
O000595,Kartu Kredit,8321703,failed
O000596,COD,20675953,success
O000597,COD,9130215,success
O000598,Kartu Kredit,6773464,success
O000599,Transfer Bank,13439600,success
O000600,Kartu Kredit,8141003,success
O000601,Transfer Bank,34501569,success
O000602,Kartu Kredit,17191924,success
O000603,COD,15128081,success
O000604,COD,10615850,success
O000605,Kartu Kredit,23916731,success
O000606,ShopeePay,6426268,success
O000607,COD,8959315,success
O000608,Transfer Bank,7116100,success
O000609,COD,2401806,success
O000610,Kartu Kredit,11642460,success
O000611,Transfer Bank,1814049,success
O000612,Transfer Bank,18520933,success
O000613,ShopeePay,13097812,success
O000614,Kartu Kredit,611104,failed
O000615,ShopeePay,24896136,success
O000616,Kartu Kredit,9049898,success
O000617,COD,21381194,success
O000618,COD,13375763,success
O000619,Transfer Bank,10007084,success
O000620,Transfer Bank,13157719,success
O000621,Transfer Bank,1558163,success
O000622,ShopeePay,23713806,failed
O000623,Kartu Kredit,21540770,success
O000624,COD,13865560,success
O000625,Transfer Bank,12938155,success
O000626,COD,5011790,failed
O000627,Transfer Bank,972352,failed
O000628,COD,5028622,failed
O000629,ShopeePay,28513215,success
O000630,COD,19636904,success
O000631,ShopeePay,14359870,success
O000632,Kartu Kredit,21690590,success
O000633,Transfer Bank,3150016,success
O000634,COD,3964939,success
O000635,Kartu Kredit,14869332,success
O000636,ShopeePay,14566891,failed
O000637,ShopeePay,19940451,success
O000638,Kartu Kredit,471688,success
O000639,Transfer Bank,3774203,success
O000640,COD,26967811,success
O000641,ShopeePay,11345390,success
O000642,Kartu Kredit,14979101,success
O000643,Kartu Kredit,9230958,failed
O000644,COD,4646042,success
O000645,Transfer Bank,10102324,success
O000646,ShopeePay,3030602,failed
O000647,Kartu Kredit,19268679,success
O000648,COD,11288760,success
O000649,COD,11678179,success
O000650,Transfer Bank,2718484,success
O000651,Kartu Kredit,2195562,success
O000652,ShopeePay,19875216,success
O000653,COD,20958694,success
O000654,Kartu Kredit,720332,success
O000655,Kartu Kredit,8224025,success
O000656,Kartu Kredit,3300446,success
O000657,Kartu Kredit,14922025,success
O000658,ShopeePay,6174604,success
O000659,ShopeePay,5690662,success
O000660,COD,1775980,success
O000661,Transfer Bank,5799909,success
O000662,Kartu Kredit,10876358,success
O000663,ShopeePay,13064180,failed
O000664,Transfer Bank,7190271,success
O000665,ShopeePay,13442486,failed
O000666,COD,13203529,success
O000667,Transfer Bank,11363873,success
O000668,COD,2319159,success
O000669,ShopeePay,5228235,failed
O000670,Transfer Bank,37496088,success
O000671,COD,5350456,failed
O000672,ShopeePay,5629460,success
O000673,Kartu Kredit,15423978,success
O000674,ShopeePay,5411756,success
O000675,ShopeePay,2688825,success
O000676,Kartu Kredit,328502,success
O000677,Transfer Bank,9663105,success
O000678,COD,17143327,success
O000679,Transfer Bank,22593953,failed
O000680,ShopeePay,19178895,success
O000681,COD,13652974,failed
O000682,Kartu Kredit,19825576,success
O000683,COD,5253060,success
O000684,Transfer Bank,101389,failed
O000685,Transfer Bank,11221711,success
O000686,COD,13674150,success
O000687,COD,3279592,success
O000688,ShopeePay,12171968,success
O000689,Transfer Bank,11497851,success
O000690,COD,17333212,success
O000691,Transfer Bank,15688288,success
O000692,Kartu Kredit,20169971,success
O000693,COD,5139510,failed
O000694,Kartu Kredit,3977776,success
O000695,Kartu Kredit,1334648,success
O000696,Transfer Bank,9779100,success
O000697,ShopeePay,8938233,success
O000698,COD,913750,failed
O000699,Kartu Kredit,5607645,success
O000700,ShopeePay,2229728,success
O000701,COD,15350412,success
O000702,Transfer Bank,12223384,success
O000703,Kartu Kredit,9564893,success
O000704,COD,250490,success
O000705,Kartu Kredit,2753128,success
O000706,Transfer Bank,14009367,success
O000707,Kartu Kredit,269356,success
O000708,ShopeePay,7019760,success
O000709,ShopeePay,23933907,failed
O000710,Kartu Kredit,7760776,success
O000711,Transfer Bank,22846245,success
O000712,Transfer Bank,13604736,success
O000713,ShopeePay,18159608,success
O000714,ShopeePay,3154850,success
O000715,Kartu Kredit,8030278,success
O000716,Transfer Bank,5548137,success
O000717,Kartu Kredit,1061556,success
O000718,COD,23929992,success
O000719,ShopeePay,2560941,success
O000720,Kartu Kredit,20137695,success
O000721,Kartu Kredit,5503838,success
O000722,ShopeePay,25513737,success
O000723,COD,12371590,success
O000724,Kartu Kredit,11400906,success
O000725,Kartu Kredit,5961204,success
O000726,COD,15389431,failed
O000727,Kartu Kredit,18338142,success
O000728,ShopeePay,7948425,success
O000729,COD,1865960,success
O000730,Transfer Bank,8890421,success
O000731,Kartu Kredit,5001434,failed
O000732,Kartu Kredit,373308,failed
O000733,ShopeePay,9662881,success
O000734,ShopeePay,14190174,success
O000735,ShopeePay,21998508,success
O000736,COD,5120965,success
O000737,Kartu Kredit,5118378,failed
O000738,Transfer Bank,5975558,success
O000739,Transfer Bank,3735840,success
O000740,Transfer Bank,5543185,success
O000741,Kartu Kredit,5873094,success
O000742,Transfer Bank,3795565,success
O000743,COD,5772447,failed
O000744,COD,25188486,success
O000745,ShopeePay,4232166,success
O000746,Transfer Bank,15613162,success
O000747,Kartu Kredit,18550203,success
O000748,Kartu Kredit,20341241,success
O000749,COD,12507450,failed
O000750,Transfer Bank,1368144,failed
O000751,COD,14499470,success
O000752,ShopeePay,19558227,success
O000753,Transfer Bank,14876235,success
O000754,COD,15836724,success
O000755,Kartu Kredit,3290476,success
O000756,ShopeePay,7215495,success
O000757,ShopeePay,1652700,success
O000758,Kartu Kredit,13946995,success
O000759,Transfer Bank,23475414,success
O000760,ShopeePay,7607952,success
O000761,ShopeePay,12197607,failed
O000762,Kartu Kredit,29848783,failed
O000763,ShopeePay,11357576,success
O000764,ShopeePay,11431619,success
O000765,ShopeePay,24502778,success
O000766,COD,14678765,success
O000767,Kartu Kredit,13627562,success
O000768,Kartu Kredit,18143490,success
O000769,Kartu Kredit,9379479,success
O000770,Kartu Kredit,10302205,success
O000771,Kartu Kredit,20997491,success
O000772,ShopeePay,14770274,success
O000773,Kartu Kredit,12262777,success
O000774,COD,9217086,success
O000775,ShopeePay,9704056,success
O000776,COD,12089129,success
O000777,ShopeePay,20541253,success
O000778,Kartu Kredit,11427508,success
O000779,Transfer Bank,12960568,success
O000780,ShopeePay,3470053,success
O000781,ShopeePay,469228,success
O000782,Kartu Kredit,14166709,success
O000783,Kartu Kredit,28124598,success
O000784,Transfer Bank,3756410,success
O000785,COD,8988588,success
O000786,COD,466010,success
O000787,ShopeePay,13385582,success
O000788,COD,5180464,success
O000789,Transfer Bank,5759055,success
O000790,Transfer Bank,18065382,success
O000791,Transfer Bank,2075987,success
O000792,ShopeePay,11723434,success
O000793,Transfer Bank,7326370,success
O000794,Kartu Kredit,10028438,success
O000795,Transfer Bank,2817138,failed
O000796,COD,14824611,success
O000797,Kartu Kredit,4299255,success
O000798,ShopeePay,2426014,success
O000799,Transfer Bank,1480502,success
O000800,ShopeePay,26115886,success
O000801,COD,4281427,success
O000802,ShopeePay,17938162,success
O000803,COD,14009078,success
O000804,Kartu Kredit,6306188,success
O000805,Transfer Bank,7248937,success
O000806,COD,19035755,success
O000807,Transfer Bank,28326196,success
O000808,Transfer Bank,2662955,failed
O000809,COD,56936,failed
O000810,COD,23123588,success
O000811,COD,880632,success
O000812,Kartu Kredit,23998076,success
O000813,Transfer Bank,849024,success
O000814,Transfer Bank,3218576,success
O000815,Kartu Kredit,22963542,success
O000816,COD,18961442,success
O000817,COD,13562093,failed
O000818,Transfer Bank,17609077,success
O000819,Transfer Bank,8440479,success
O000820,COD,7901063,success
O000821,COD,4749982,success
O000822,COD,7167135,success
O000823,COD,2988591,success
O000824,ShopeePay,30905691,success
O000825,Transfer Bank,12382204,success
