order_id,user_id,order_date,status,estimated_delivery
O000063,U00021,2023-05-18,delivered,2023-05-20
O000064,U00027,2024-12-22,delivered,2024-12-24
O000065,U00785,2025-06-01,delivered,2025-06-07
O000066,U00526,2024-09-02,delivered,2024-09-06
O000067,U03993,2025-06-18,returned,2025-06-23
O000068,U00701,2025-03-01,delivered,2025-03-06
O000069,U02768,2025-05-22,returned,2025-05-27
O000070,U02495,2024-12-08,delivered,2024-12-14
O000071,U03159,2025-05-31,delivered,2025-06-02
O000072,U02038,2025-06-26,delivered,2025-06-30
O000073,U00457,2024-05-12,delivered,2024-05-16
O000074,U04868,2025-07-02,delivered,2025-07-09
O000075,U02570,2024-04-29,delivered,2024-05-02
O000076,U02118,2025-03-23,delivered,2025-03-29
O000077,U04445,2024-07-09,delivered,2024-07-14
O000078,U01029,2024-01-06,canceled,2024-01-11
O000079,U02122,2024-12-14,delivered,2024-12-18
O000080,U02731,2024-09-10,delivered,2024-09-12
O000081,U04317,2024-07-18,canceled,2024-07-20
O000082,U01056,2025-04-18,delivered,2025-04-23
O000083,U04032,2025-03-17,delivered,2025-03-24
O000084,U03014,2023-08-30,delivered,2023-09-03
O000085,U00882,2024-06-03,delivered,2024-06-08
O000086,U00699,2025-06-29,delivered,2025-07-01
O000087,U01596,2025-07-03,delivered,2025-07-06
O000088,U01117,2024-03-13,delivered,2024-03-16
O000089,U02660,2024-01-17,delivered,2024-01-22
O000090,U04783,2022-10-29,delivered,2022-11-04
O000091,U01145,2023-07-05,delivered,2023-07-09
O000092,U03344,2024-10-29,delivered,2024-11-02
O000093,U02320,2024-10-06,delivered,2024-10-12
O000094,U04707,2024-11-11,delivered,2024-11-18
O000095,U02114,2025-06-10,delivered,2025-06-15
O000096,U00398,2024-03-27,delivered,2024-03-31
O000097,U00272,2023-04-06,canceled,2023-04-13
O000098,U01898,2025-04-24,delivered,2025-04-27
O000099,U04788,2025-03-29,delivered,2025-04-01
O000100,U03259,2024-11-06,delivered,2024-11-13
O000101,U03260,2025-02-28,returned,2025-03-04
O000102,U03750,2025-06-11,delivered,2025-06-13
O000103,U01494,2025-05-04,delivered,2025-05-11
O000104,U01680,2025-02-07,delivered,2025-02-10
O000105,U01766,2025-03-15,delivered,2025-03-18
O000106,U02253,2024-10-14,delivered,2024-10-16
O000107,U03932,2025-03-08,delivered,2025-03-15
O000108,U03386,2023-05-01,delivered,2023-05-04
O000109,U01917,2024-01-05,delivered,2024-01-07
O000110,U00027,2024-11-03,delivered,2024-11-07
O000111,U04863,2025-06-24,delivered,2025-06-30
O000112,U00452,2024-01-22,delivered,2024-01-29
O000113,U00439,2024-11-11,delivered,2024-11-16
O000114,U04829,2024-03-28,delivered,2024-04-04
O000115,U04535,2024-11-27,canceled,2024-11-30
O000116,U01824,2025-04-20,delivered,2025-04-26
O000117,U02534,2024-06-17,delivered,2024-06-24
O000118,U04342,2024-01-15,delivered,2024-01-20
O000119,U00510,2023-07-11,delivered,2023-07-16
O000120,U03109,2024-01-22,returned,2024-01-29
O000121,U03708,2023-03-30,delivered,2023-04-03
O000122,U02795,2025-03-13,delivered,2025-03-15
O000123,U02426,2024-12-07,canceled,2024-12-14
O000124,U02852,2023-08-25,delivered,2023-08-29
O000125,U04502,2024-07-26,delivered,2024-07-28
O000126,U04416,2024-08-08,delivered,2024-08-10
O000127,U00986,2025-04-22,delivered,2025-04-26
O000128,U01938,2025-05-03,delivered,2025-05-08
O000129,U03493,2025-03-24,delivered,2025-03-28
O000130,U04611,2023-10-18,delivered,2023-10-22
O000131,U01512,2024-03-19,delivered,2024-03-23
O000132,U04694,2024-05-07,returned,2024-05-12
O000133,U01515,2025-03-05,delivered,2025-03-11
O000134,U04334,2025-01-13,delivered,2025-01-16
O000135,U01835,2025-05-07,delivered,2025-05-14
O000136,U00340,2025-06-23,delivered,2025-06-26
O000137,U02992,2024-05-21,delivered,2024-05-26
O000138,U04479,2025-05-12,canceled,2025-05-18
O000139,U03589,2023-11-09,delivered,2023-11-11
O000140,U02532,2025-01-23,delivered,2025-01-29
O000141,U00751,2024-03-25,delivered,2024-03-31
O000142,U04326,2024-04-11,delivered,2024-04-16
O000143,U01032,2025-06-08,delivered,2025-06-10
O000144,U00194,2025-06-03,delivered,2025-06-08
O000145,U03213,2025-01-31,canceled,2025-02-02
O000146,U02349,2025-05-15,delivered,2025-05-22
O000147,U00850,2025-05-14,delivered,2025-05-19
O000148,U02711,2025-03-20,delivered,2025-03-22
O000149,U00497,2025-02-22,delivered,2025-02-28
O000150,U01732,2025-01-23,returned,2025-01-30
O000151,U03155,2024-10-20,delivered,2024-10-23
O000152,U04463,2024-02-17,delivered,2024-02-20
O000153,U03447,2025-04-18,delivered,2025-04-22
O000154,U04876,2024-10-03,delivered,2024-10-05
O000155,U00510,2024-07-06,delivered,2024-07-09
O000156,U01463,2025-03-06,delivered,2025-03-08
O000157,U04662,2025-06-18,delivered,2025-06-23
O000158,U03958,2024-12-19,delivered,2024-12-22
O000159,U03674,2024-11-03,delivered,2024-11-09
O000160,U04652,2025-05-08,delivered,2025-05-14
O000161,U02725,2024-09-19,returned,2024-09-23
O000162,U00218,2025-06-18,delivered,2025-06-20
O000163,U03093,2024-02-19,delivered,2024-02-24
O000164,U02114,2024-01-22,delivered,2024-01-28
O000165,U01134,2024-02-26,canceled,2024-03-02
O000166,U02944,2025-06-26,delivered,2025-06-30
O000167,U02346,2024-12-16,delivered,2024-12-18
O000168,U02583,2023-10-16,delivered,2023-10-20
O000169,U01893,2024-03-24,delivered,2024-03-31
O000170,U02432,2024-07-06,delivered,2024-07-11
O000171,U04980,2023-08-07,delivered,2023-08-14
O000172,U01313,2023-09-16,delivered,2023-09-19
O000173,U01155,2025-03-06,delivered,2025-03-13
O000174,U00151,2025-03-18,delivered,2025-03-25
O000175,U04822,2024-05-22,delivered,2024-05-27
O000176,U01436,2025-06-17,delivered,2025-06-23
O000177,U03666,2023-11-15,returned,2023-11-18
O000178,U02625,2025-02-04,delivered,2025-02-10
O000179,U04329,2025-02-11,canceled,2025-02-17
O000180,U04425,2024-07-05,delivered,2024-07-12
O000181,U01102,2023-08-22,canceled,2023-08-26
O000182,U01206,2023-11-06,canceled,2023-11-13
O000183,U03472,2024-11-22,delivered,2024-11-25
O000184,U02913,2025-05-02,canceled,2025-05-08
O000185,U03332,2024-10-01,canceled,2024-10-04
O000186,U04704,2025-06-14,delivered,2025-06-21
O000187,U00171,2025-04-14,delivered,2025-04-20
O000188,U00667,2025-05-19,delivered,2025-05-25
O000189,U00501,2025-03-12,delivered,2025-03-15
O000190,U04735,2025-05-21,canceled,2025-05-23
O000191,U02360,2025-06-22,delivered,2025-06-29
O000192,U03693,2025-04-11,delivered,2025-04-16
O000193,U00335,2024-05-30,delivered,2024-06-05
O000194,U00193,2025-07-03,delivered,2025-07-07
O000195,U00928,2024-10-15,delivered,2024-10-19
O000196,U03853,2024-10-16,delivered,2024-10-19
O000197,U03157,2024-11-16,delivered,2024-11-18
O000198,U01021,2025-02-12,delivered,2025-02-16
O000199,U00126,2025-04-03,returned,2025-04-08
O000200,U04429,2024-08-04,delivered,2024-08-09
O000201,U03304,2025-07-01,canceled,2025-07-05
O000202,U02763,2023-04-25,delivered,2023-04-30
O000203,U02029,2023-11-17,delivered,2023-11-22
O000204,U02374,2025-03-16,delivered,2025-03-20
O000205,U01714,2025-05-28,delivered,2025-06-02
O000206,U01204,2025-03-13,canceled,2025-03-19
O000207,U03174,2025-06-07,delivered,2025-06-09
O000208,U01899,2023-09-26,delivered,2023-10-02
O000209,U03580,2024-12-12,delivered,2024-12-19
O000210,U03864,2025-06-10,delivered,2025-06-14
O000211,U02386,2024-04-11,delivered,2024-04-15
O000212,U02645,2024-03-22,delivered,2024-03-24
O000213,U03064,2024-07-24,delivered,2024-07-27
O000214,U03944,2025-07-02,delivered,2025-07-04
O000215,U00099,2025-06-30,delivered,2025-07-05
O000216,U01907,2025-02-07,delivered,2025-02-10
O000217,U02909,2025-05-10,delivered,2025-05-15
O000218,U02975,2025-05-16,delivered,2025-05-22
O000219,U04948,2024-10-08,delivered,2024-10-11
O000220,U04380,2025-03-13,delivered,2025-03-18
O000221,U04724,2025-05-11,delivered,2025-05-13
O000222,U03298,2024-01-29,delivered,2024-02-04
O000223,U04309,2023-12-07,delivered,2023-12-14
O000224,U04160,2025-05-13,delivered,2025-05-19
O000225,U00397,2025-06-08,delivered,2025-06-10
O000226,U04202,2025-06-21,delivered,2025-06-23
O000227,U00900,2025-02-16,delivered,2025-02-21
O000228,U01318,2024-07-16,delivered,2024-07-20
O000229,U01463,2025-06-06,delivered,2025-06-12
O000230,U00356,2023-12-14,delivered,2023-12-17
O000231,U04192,2025-06-22,delivered,2025-06-29
O000232,U04982,2025-02-14,delivered,2025-02-20
O000233,U02859,2023-11-13,delivered,2023-11-15
O000234,U03277,2025-04-14,delivered,2025-04-19
O000235,U02504,2024-04-17,delivered,2024-04-21
O000236,U04127,2024-12-10,delivered,2024-12-14
O000237,U02439,2023-11-14,delivered,2023-11-17
O000238,U03518,2023-11-12,delivered,2023-11-14
O000239,U00859,2024-04-14,delivered,2024-04-21
O000240,U01687,2024-02-10,delivered,2024-02-15
O000241,U00551,2023-03-22,delivered,2023-03-26
O000242,U00122,2025-03-31,delivered,2025-04-07
O000243,U01115,2025-05-29,delivered,2025-06-05
O000244,U03779,2025-05-05,delivered,2025-05-09
O000245,U01208,2025-03-22,delivered,2025-03-27
O000246,U00534,2024-03-01,delivered,2024-03-06
O000247,U00383,2024-08-17,delivered,2024-08-23
O000248,U02605,2025-05-23,delivered,2025-05-28
O000249,U02016,2024-12-05,delivered,2024-12-11
O000250,U01248,2025-03-28,delivered,2025-04-02
O000251,U02566,2024-06-26,delivered,2024-07-02
O000252,U00022,2025-05-27,delivered,2025-05-29
O000253,U01723,2025-05-01,delivered,2025-05-07
O000254,U04121,2024-02-14,delivered,2024-02-16
O000255,U01924,2025-04-05,returned,2025-04-08
O000256,U02776,2024-11-30,returned,2024-12-02
O000257,U01399,2024-08-01,delivered,2024-08-05
O000258,U01590,2024-10-14,delivered,2024-10-19
O000259,U01446,2025-02-21,delivered,2025-02-25
O000260,U01420,2023-06-21,delivered,2023-06-23
O000261,U02029,2023-12-10,delivered,2023-12-17
O000262,U03099,2024-04-07,delivered,2024-04-09
O000263,U03362,2024-11-24,delivered,2024-11-29
O000264,U02184,2025-03-20,delivered,2025-03-25
O000265,U01704,2023-09-16,delivered,2023-09-18
O000266,U00246,2023-12-03,delivered,2023-12-08
O000267,U02017,2025-03-28,delivered,2025-03-30
O000268,U04610,2025-01-06,canceled,2025-01-12
O000269,U01745,2025-01-06,returned,2025-01-12
O000270,U01612,2025-07-05,delivered,2025-07-11
O000271,U02759,2024-08-26,delivered,2024-09-01
O000272,U00158,2023-09-12,delivered,2023-09-16
O000273,U03074,2025-06-03,delivered,2025-06-08
O000274,U02132,2025-02-18,delivered,2025-02-24
O000275,U01109,2024-09-12,delivered,2024-09-19
O000276,U01515,2024-06-29,delivered,2024-07-04
O000277,U03934,2025-04-30,delivered,2025-05-06
O000278,U02771,2025-04-25,delivered,2025-04-29
O000279,U03204,2024-12-16,delivered,2024-12-20
O000280,U01389,2024-07-28,delivered,2024-08-03
O000281,U00027,2025-06-20,delivered,2025-06-27
O000282,U00973,2023-06-02,delivered,2023-06-04
O000283,U02327,2023-01-29,delivered,2023-02-02
O000284,U00404,2025-07-02,delivered,2025-07-08
O000285,U01724,2025-07-07,delivered,2025-07-11
O000286,U04246,2025-01-11,delivered,2025-01-17
O000287,U01172,2024-11-04,delivered,2024-11-08
O000288,U01021,2024-08-20,delivered,2024-08-23
O000289,U02991,2024-01-30,delivered,2024-02-03
O000290,U02958,2025-02-05,delivered,2025-02-07
O000291,U04911,2025-05-16,canceled,2025-05-19
O000292,U03332,2023-03-12,delivered,2023-03-16
O000293,U01775,2025-07-01,delivered,2025-07-03
O000294,U01565,2025-05-05,delivered,2025-05-09
O000295,U01522,2024-11-29,delivered,2024-12-03
O000296,U04461,2024-01-30,delivered,2024-02-03
O000297,U04462,2023-09-21,delivered,2023-09-24
O000298,U01866,2024-10-11,delivered,2024-10-14
O000299,U00708,2025-01-23,delivered,2025-01-25
O000300,U04392,2025-06-01,canceled,2025-06-03
O000301,U04544,2023-04-18,delivered,2023-04-24
O000302,U04567,2025-06-14,canceled,2025-06-20
O000303,U00792,2024-04-27,delivered,2024-05-04
O000304,U03918,2025-05-06,returned,2025-05-08
O000305,U00038,2023-03-10,delivered,2023-03-14
O000306,U04985,2024-03-15,delivered,2024-03-17
O000307,U04407,2025-06-20,returned,2025-06-22
O000308,U03743,2024-11-22,delivered,2024-11-27
O000309,U04293,2025-07-07,delivered,2025-07-11
O000310,U04949,2023-05-18,returned,2023-05-22
O000311,U03615,2025-03-28,delivered,2025-04-02
O000312,U04741,2025-05-15,returned,2025-05-19
O000313,U02443,2024-09-08,canceled,2024-09-15
O000314,U03353,2024-08-02,delivered,2024-08-07
O000315,U02490,2025-04-28,delivered,2025-05-01
O000316,U04140,2025-05-24,delivered,2025-05-28
O000317,U02973,2025-04-13,delivered,2025-04-17
O000318,U03736,2024-11-25,delivered,2024-12-01
O000319,U03915,2024-06-21,delivered,2024-06-23
O000320,U04762,2024-04-24,delivered,2024-04-28
O000321,U02604,2023-11-06,delivered,2023-11-08
O000322,U02432,2025-04-03,delivered,2025-04-05
O000323,U03527,2025-03-14,delivered,2025-03-19
O000324,U03822,2023-05-30,delivered,2023-06-02
O000325,U02935,2025-07-01,delivered,2025-07-04
O000326,U03891,2025-05-29,delivered,2025-06-02
O000327,U01997,2024-06-15,delivered,2024-06-22
O000328,U04744,2025-06-08,delivered,2025-06-12
O000329,U04313,2025-04-07,delivered,2025-04-11
O000330,U04787,2025-04-30,delivered,2025-05-06
O000331,U04841,2025-06-13,delivered,2025-06-15
O000332,U04934,2025-01-12,delivered,2025-01-14
O000333,U03403,2023-12-10,delivered,2023-12-16
O000334,U02410,2025-03-03,delivered,2025-03-05
O000335,U00730,2024-07-09,returned,2024-07-15
O000336,U04901,2023-08-27,delivered,2023-08-30
O000337,U02400,2024-11-05,delivered,2024-11-10
O000338,U02662,2024-09-23,delivered,2024-09-30
O000339,U02673,2025-03-10,delivered,2025-03-14
O000340,U01484,2024-10-27,delivered,2024-11-01
O000341,U03531,2024-04-27,delivered,2024-04-29
O000342,U02498,2022-12-10,delivered,2022-12-14
O000343,U01126,2025-02-16,delivered,2025-02-19
O000344,U01654,2024-11-09,delivered,2024-11-13
O000345,U03762,2025-04-01,canceled,2025-04-03
O000346,U00755,2025-06-19,delivered,2025-06-21
O000347,U03214,2024-02-09,delivered,2024-02-12
O000348,U03598,2024-11-20,delivered,2024-11-27
O000349,U00221,2023-12-19,delivered,2023-12-21
O000350,U02151,2024-02-01,delivered,2024-02-08
O000351,U03660,2024-03-17,delivered,2024-03-23
O000352,U01022,2023-09-18,delivered,2023-09-20
O000353,U01908,2023-05-25,delivered,2023-05-28
O000354,U00871,2025-03-27,delivered,2025-03-30
O000355,U02507,2025-03-17,delivered,2025-03-22
O000356,U00873,2025-06-04,delivered,2025-06-11
O000357,U03562,2023-02-12,delivered,2023-02-14
O000358,U01648,2025-05-20,canceled,2025-05-22
O000359,U03408,2023-09-07,delivered,2023-09-12
O000360,U00091,2024-11-06,delivered,2024-11-13
O000361,U00673,2024-06-29,delivered,2024-07-05
O000362,U01218,2024-10-17,delivered,2024-10-20
O000363,U04008,2023-09-12,delivered,2023-09-14
O000364,U03917,2022-08-30,delivered,2022-09-01
O000365,U04448,2025-02-02,delivered,2025-02-07
O000366,U02421,2024-02-22,delivered,2024-02-27
O000367,U03929,2025-02-22,delivered,2025-03-01
O000368,U02763,2024-10-04,delivered,2024-10-07
O000369,U01011,2024-02-22,delivered,2024-02-27
O000370,U04006,2025-04-05,delivered,2025-04-09
O000371,U00414,2024-06-20,delivered,2024-06-23
O000372,U03643,2022-09-22,delivered,2022-09-25
O000373,U01558,2024-10-20,delivered,2024-10-22
O000374,U03277,2025-04-18,delivered,2025-04-24
O000375,U02815,2025-05-06,delivered,2025-05-09
O000376,U00825,2025-01-17,delivered,2025-01-21
O000377,U02712,2025-07-03,delivered,2025-07-06
O000378,U04652,2025-04-29,delivered,2025-05-03
O000379,U02403,2024-07-05,delivered,2024-07-07
O000380,U04901,2023-09-23,delivered,2023-09-25
O000381,U01628,2024-11-01,delivered,2024-11-04
O000382,U03457,2024-09-20,delivered,2024-09-22
O000383,U03810,2024-07-27,canceled,2024-08-01
O000384,U03265,2024-04-15,delivered,2024-04-18
O000385,U00217,2024-02-03,delivered,2024-02-10
O000386,U00233,2025-03-03,delivered,2025-03-10
O000387,U03159,2025-05-27,delivered,2025-06-03
O000388,U04528,2025-03-11,canceled,2025-03-17
O000389,U02260,2024-04-30,delivered,2024-05-04
O000390,U01200,2024-01-05,delivered,2024-01-12
O000391,U03592,2025-07-08,delivered,2025-07-14
O000392,U03920,2025-02-23,delivered,2025-02-27
O000393,U03048,2024-10-03,delivered,2024-10-08
O000394,U02611,2024-07-13,returned,2024-07-16
O000395,U03275,2025-04-22,delivered,2025-04-27
O000396,U01777,2025-06-07,delivered,2025-06-13
O000397,U03392,2025-01-09,returned,2025-01-16
O000398,U04001,2023-08-18,delivered,2023-08-24
O000399,U01378,2025-07-05,delivered,2025-07-08
O000400,U04662,2025-05-19,delivered,2025-05-26
O000401,U00078,2024-03-08,canceled,2024-03-11
O000402,U01388,2025-05-16,delivered,2025-05-20
O000403,U02643,2025-04-12,delivered,2025-04-14
O000404,U04567,2025-03-06,delivered,2025-03-10
O000405,U03324,2024-11-28,returned,2024-11-30
O000406,U01916,2025-06-08,delivered,2025-06-15
O000407,U03991,2025-04-18,delivered,2025-04-25
O000408,U00494,2024-08-30,delivered,2024-09-01
O000409,U00355,2024-12-26,delivered,2024-12-30
O000410,U02622,2024-06-24,delivered,2024-06-26
O000411,U00489,2024-01-13,delivered,2024-01-18
O000412,U01769,2024-07-28,returned,2024-08-04
O000413,U03163,2024-05-16,canceled,2024-05-21
O000414,U01122,2023-10-21,delivered,2023-10-25
O000415,U01070,2025-05-14,delivered,2025-05-20
O000416,U02092,2025-05-18,canceled,2025-05-21
O000417,U02398,2025-01-08,delivered,2025-01-12
O000418,U02184,2025-03-20,delivered,2025-03-25
O000419,U02240,2024-09-21,delivered,2024-09-28
O000420,U01772,2023-11-18,delivered,2023-11-23
O000421,U02654,2024-06-15,delivered,2024-06-20
O000422,U03676,2024-12-30,delivered,2025-01-05
O000423,U02927,2024-08-03,delivered,2024-08-09
O000424,U01081,2025-05-19,delivered,2025-05-24
O000425,U03112,2024-08-11,delivered,2024-08-16
O000426,U00702,2025-01-20,delivered,2025-01-27
O000427,U00332,2025-02-09,delivered,2025-02-13
O000428,U02573,2025-04-20,delivered,2025-04-26
O000429,U04224,2023-10-14,delivered,2023-10-16
O000430,U02634,2023-12-19,delivered,2023-12-24
O000431,U04187,2023-12-02,delivered,2023-12-09
O000432,U00020,2024-08-08,canceled,2024-08-11
O000433,U01096,2024-06-09,delivered,2024-06-11
O000434,U02410,2024-10-22,delivered,2024-10-25
O000435,U03682,2025-05-05,delivered,2025-05-08
O000436,U04965,2023-09-01,delivered,2023-09-06
O000437,U04900,2023-08-18,delivered,2023-08-22
O000438,U03601,2025-05-02,delivered,2025-05-05
O000439,U04801,2023-09-08,delivered,2023-09-10
O000440,U04296,2025-04-25,delivered,2025-04-30
O000441,U00801,2023-07-29,delivered,2023-08-05
O000442,U04505,2025-06-06,delivered,2025-06-13
O000443,U01115,2025-01-30,delivered,2025-02-05
O000444,U03761,2025-05-23,delivered,2025-05-30
O000445,U02425,2024-01-26,delivered,2024-02-01
O000446,U04399,2024-10-16,delivered,2024-10-23
O000447,U00408,2025-03-11,delivered,2025-03-18
O000448,U04290,2025-06-02,delivered,2025-06-04
O000449,U01884,2025-05-01,delivered,2025-05-08
O000450,U02572,2025-06-12,delivered,2025-06-14
O000451,U04154,2025-01-20,delivered,2025-01-27
O000452,U02257,2025-05-07,delivered,2025-05-09
O000453,U03076,2025-05-25,delivered,2025-05-27
O000454,U01751,2022-09-30,delivered,2022-10-02
O000455,U01867,2025-04-16,delivered,2025-04-21
O000456,U02311,2025-04-03,delivered,2025-04-09
O000457,U02952,2024-07-01,delivered,2024-07-07
O000458,U03390,2025-03-10,delivered,2025-03-16
O000459,U04410,2024-03-23,canceled,2024-03-26
O000460,U03256,2024-04-17,delivered,2024-04-21
O000461,U00007,2025-04-06,delivered,2025-04-09
O000462,U02517,2024-11-05,delivered,2024-11-11
O000463,U02241,2024-11-16,delivered,2024-11-20
O000464,U01519,2023-08-28,delivered,2023-08-31
O000465,U03384,2025-01-12,delivered,2025-01-17
O000466,U01975,2024-09-30,delivered,2024-10-06
O000467,U04193,2025-02-13,canceled,2025-02-16
O000468,U00146,2025-03-29,delivered,2025-04-03
O000469,U00701,2024-05-17,delivered,2024-05-20
O000470,U04786,2024-07-31,delivered,2024-08-02
O000471,U00286,2025-06-24,delivered,2025-06-29
O000472,U00208,2025-03-20,returned,2025-03-23
O000473,U01243,2024-11-19,delivered,2024-11-24
O000474,U04053,2024-01-24,delivered,2024-01-26
O000475,U03269,2024-12-18,delivered,2024-12-23
O000476,U04603,2025-06-05,delivered,2025-06-12
O000477,U04927,2025-05-08,delivered,2025-05-13
O000478,U00844,2023-09-09,delivered,2023-09-16
O000479,U04761,2024-06-07,delivered,2024-06-13
O000480,U04746,2025-04-30,delivered,2025-05-06
O000481,U01169,2024-11-25,delivered,2024-11-27
O000482,U02181,2024-12-31,delivered,2025-01-04
O000483,U00784,2025-03-17,delivered,2025-03-23
O000484,U00135,2024-05-17,delivered,2024-05-23
O000485,U01154,2024-10-05,delivered,2024-10-09
O000486,U03368,2024-09-24,delivered,2024-09-30
O000487,U03118,2025-07-08,delivered,2025-07-15
O000488,U04215,2024-06-18,delivered,2024-06-25
O000489,U00401,2024-05-16,canceled,2024-05-21
O000490,U00443,2025-04-01,canceled,2025-04-04
O000491,U04402,2024-05-21,delivered,2024-05-26
O000492,U03885,2025-03-31,delivered,2025-04-06
O000493,U01321,2025-07-05,delivered,2025-07-10
O000494,U01646,2025-05-15,delivered,2025-05-17
O000495,U01723,2025-06-05,delivered,2025-06-08
O000496,U02079,2025-04-14,delivered,2025-04-16
O000497,U02497,2025-06-17,delivered,2025-06-19
O000498,U04341,2025-04-28,returned,2025-05-03
O000499,U01669,2024-09-24,delivered,2024-09-30
O000500,U00925,2024-12-22,returned,2024-12-25
O000501,U02145,2024-08-18,delivered,2024-08-21
O000502,U00133,2025-07-01,delivered,2025-07-06
O000503,U03097,2025-05-11,canceled,2025-05-14
O000504,U03673,2025-02-03,delivered,2025-02-09
O000505,U02265,2024-04-15,delivered,2024-04-22
O000506,U02360,2024-03-28,delivered,2024-04-03
O000507,U02159,2025-06-20,delivered,2025-06-27
O000508,U04773,2025-04-20,delivered,2025-04-23
O000509,U00530,2025-04-22,delivered,2025-04-26
O000510,U01703,2024-12-01,delivered,2024-12-08
O000511,U00122,2025-03-15,delivered,2025-03-21
O000512,U02532,2024-11-05,delivered,2024-11-08
O000513,U02059,2025-04-05,delivered,2025-04-07
O000514,U00164,2024-10-22,delivered,2024-10-25
O000515,U02944,2025-03-23,delivered,2025-03-29
O000516,U03651,2025-04-18,returned,2025-04-24
O000517,U00186,2025-03-24,canceled,2025-03-27
O000518,U01000,2024-12-13,delivered,2024-12-17
O000519,U00405,2024-11-09,delivered,2024-11-16
O000520,U04052,2023-10-10,delivered,2023-10-17
O000521,U02017,2025-05-12,delivered,2025-05-14
O000522,U03501,2024-12-14,delivered,2024-12-17
O000523,U04598,2025-05-20,delivered,2025-05-22
O000524,U03345,2024-09-23,delivered,2024-09-25
O000525,U00727,2025-01-27,delivered,2025-02-03
O000526,U01075,2025-05-26,delivered,2025-05-29
O000527,U01395,2025-01-01,delivered,2025-01-04
O000528,U01711,2025-05-10,delivered,2025-05-16
O000529,U02942,2025-05-25,delivered,2025-05-27
O000530,U01104,2024-05-23,returned,2024-05-25
O000531,U03007,2023-09-14,canceled,2023-09-19
O000532,U04488,2025-02-28,returned,2025-03-03
O000533,U01487,2024-11-28,delivered,2024-11-30
O000534,U03112,2024-08-11,delivered,2024-08-17
O000535,U01735,2022-11-11,delivered,2022-11-18
O000536,U02764,2023-05-11,delivered,2023-05-13
O000537,U04009,2025-06-19,delivered,2025-06-23
